2592138, 5358834
-2866714, 3355706
-2300365, -1286383
915510, -1151912
411490, 864357
-907101, -244963
640411, -1217335
1353049, 469340
-249341, 791177
10303, -710705
1554086, 150551
312281, 1768159
-1086609, 342502
737594, -409499
816270, 2461516
-3629597, 2606354
-5025952, -3089880
569449, -6437959
5308851, -2553790
3805303, 1976797
916485, 2076127
654166, 994544
891046, 1340184
294437, 1638870
-87604, 1460152
-359912, 1433785
-670882, 1187464
-587058, 1089058
-986616, 1439276
-1839440, 892161
-1405804, 43201
-1163389, 987251
-3696866, 1013517
-4883512, -3330905
59964, -6741769
5317291, -2906596
3382173, 2662520
-1075255, 2085807
-747017, -825674
1016270, -4280
-387023, 1169360
-1253264, -537393
466538, -1077272
524626, 524040
-1000008, -10110
61028, -1554549
1565601, -182215
-11198, 963760
-450658, -1112427
2755864, -959625
2851821, 3766193
-2868093, 5250080
-6217103, -9306
-2879759, -4408677
944443, -3319528
1090709, -1209157
503778, -1148166
963422, -1236866
1214187, -779213
1268824, -550008
1415757, -164221
1144874, 141378
1222633, -64597
1808316, 480241
1216666, 1462332
489673, 872062
1937012, 827699
2015286, 4137408
-3029660, 5733493
-6977679, 447342
-3135693, -5143850
2413258, -3295437
1793154, 879661
-774029, 320433
366005, -1187147
1392516, 470441
-419662, 1206889
-751608, -506578
830428, -283012
35338, 1246478
-1470056, 18003
11625, -1317770
861939, 411477
-1467061, 537448
-1118353, -2966536
3789729, -3043550
5337714, 2569869
511005, 5833479
-3452262, 3054685
-2721095, -36099
-1319648, -184315
-1428882, 16285
-1433003, -470331
-1177545, -674440
-1102461, -959410
-631669, -1230472
-405059, -930195
-761927, -1219223
-81468, -2027989
952213, -1380786
123991, -857898
287268, -2918616
4420412, -3109707
6474000, 2579539
952549, 7027254
-4855352, 3252886
-3097083, -2147442
715471, -1444721
-101946, 756432
-1359588, -686727
501993, -1562106
1083525, 301401
-590951, 396627
-79710, -1151192
1433176, -120038
71415, 1302736
-1042743, -270806
840029, -797039
667143, 1774941
-3077220, 1271678
-3156708, -3708313
2226276, -5282411
5315843, -962137
3084758, 2489014
723050, 2055740
601593, 1273967
520415, 1506707
89638, 1474353
-63924, 1463224
-559895, 1532092
-895382, 1003782
-554493, 924169
-1073955, 1453023
-2072407, 652197
-1346407, -341500
-1100419, 817676
-3875085, 458890
-4248405, -4513901
1999734, -7057787
6883587, -1416687
3238764, 4477577
-1892622, 2798292
-1067685, -592624
763035, 497276
-952240, 1515426
-1669962, -493096
194569, -894003
32641, 714980
-1467373, -76479
-233561, -1547391
1061091, -86650
-590649, 761179
-780167, -1273270
2011101, -830888
1396395, 3079560
-3537802, 3171356
-5088035, -1868784
-1323208, -4700129
1564013, -2986600
1370051, -1320558
1106100, -1238280
1404920, -970076
1369006, -667824
1623219, -569267
1812919, 106768
1250446, 439613
1375161, 42605
2085402, 795636
1180613, 1929237
325950, 1086865
1917342, 1175066
1397141, 4747475
-4398051, 5375681
-7444748, -1320595
-1799773, -6552430
4043486, -3082308
2419116, 1674562
-513409, 690597
848148, -779175
1638698, 1163564
-456659, 1713408
-653772, -108050
869693, 321518
-182637, 1759928
-1582096, 362636
-54228, -759448
493679, 959477
-1685244, 816754
-1013567, -2155388
2973824, -1469092
3075172, 3300702
-1527862, 4769608
-4026478, 1582925
-2785848, -714928
-1756930, -708083
-1709341, -854733
-1335569, -1156595
-1220280, -1137498
-1178172, -1657256
-360361, -1932471
-98926, -1352988
-568570, -1724616
406590, -2609834
1601239, -1614240
589712, -998335
1048376, -3126064
5478860, -2498724
6431813, 4066543
-582265, 7604819
-6052673, 2065190
-2783736, -3589755
1512969, -1986345
341113, 473019
-788125, -1143270
1327394, -1717384
1697312, 406762
-45411, 381515
650175, -1041722
2011498, 241255
491965, 1537092
-416946, -30136
1360161, -258814
905667, 2049502
-2193401, 1195450
-1469023, -2769130
3023082, -2864511
4349174, 1228183
1740370, 3335174
30144, 2513940
-107993, 2043920
-558802, 2012068
-801696, 1599064
-809680, 1710831
-1577191, 1720302
-1892112, 801476
-1305209, 676740
-1949044, 1233547
-2985283, 59000
-1903754, -1106934
-1620147, 141134
-4384161, -699725
-3720729, -6019582
3528729, -7357927
7521290, -168288
2183003, 5414943
-3154616, 2353576
-1532425, -1421109
460197, -43007
-1378830, 772476
-1744914, -1454882
355394, -1631359
96499, 6075
-1215962, -942090
259743, -2209585
1419274, -608452
-165007, 55682
-70868, -1770223
2341321, -1039175
1355124, 2119410
-2482228, 1380360
-2544550, -2732748
989300, -3856115
2664188, -1803272
