#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C482
#Date Time: 2026-05-29 14:59:32.218
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 250 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 250 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-5.086e-05,-0.01099192763068328,-0.01214887183441089
-5.084e-05,-0.01065408556383477,-0.0118117977478254
-5.082e-05,-0.01065408556383477,-0.01214887183441089
-5.08e-05,-0.01099192763068328,-0.0114747236612399
-5.078e-05,-0.0113297696975318,-0.0111376495746544
-5.076e-05,-0.01234329589807734,-0.0114747236612399
-5.074e-05,-0.01166761176438031,-0.0111376495746544
-5.072e-05,-0.01200545383122883,-0.01080057548806891
-5.07e-05,-0.01099192763068328,-0.01012642731489792
-5.068e-05,-0.0113297696975318,-0.0118117977478254
-5.066e-05,-0.01200545383122883,-0.0111376495746544
-5.064e-05,-0.0113297696975318,-0.0118117977478254
-5.062e-05,-0.01099192763068328,-0.01080057548806891
-5.06e-05,-0.0113297696975318,-0.01248594592099639
-5.058e-05,-0.01099192763068328,-0.0118117977478254
-5.056e-05,-0.0113297696975318,-0.01214887183441089
-5.054e-05,-0.0113297696975318,-0.0118117977478254
-5.052e-05,-0.0113297696975318,-0.0114747236612399
-5.05e-05,-0.0113297696975318,-0.01046350140148341
-5.048e-05,-0.01166761176438031,-0.01046350140148341
-5.046e-05,-0.0113297696975318,-0.0114747236612399
-5.044e-05,-0.01234329589807734,-0.01080057548806891
-5.042e-05,-0.01234329589807734,-0.0111376495746544
-5.04e-05,-0.01099192763068328,-0.0114747236612399
-5.038e-05,-0.01200545383122883,-0.0114747236612399
-5.036e-05,-0.01166761176438031,-0.0118117977478254
-5.034e-05,-0.01234329589807734,-0.01012642731489792
-5.032e-05,-0.0113297696975318,-0.01046350140148341
-5.03e-05,-0.01200545383122883,-0.01046350140148341
